Hour,Mini_Hydro_Generation_MW
6810,288.7186618
6811,288.7186618
6812,288.7186618
6813,288.7186618
6814,288.7186618
6815,288.7186618
6816,288.7186618
6817,288.7186618
6818,288.7186618
6819,288.7186618
6820,288.7186618
6821,288.7186618
6822,288.7186618
6823,288.7186618
6824,288.7186618
6825,288.7186618
6826,288.7186618
6827,288.7186618
6828,288.7186618
6829,288.7186618
6830,288.7186618
6831,288.7186618
6832,288.7186618
6833,288.7186618
6834,288.7186618
6835,288.7186618
6836,288.7186618
6837,288.7186618
6838,288.7186618
6839,288.7186618
6840,288.7186618
6841,288.7186618
6842,288.7186618
6843,288.7186618
6844,288.7186618
6845,288.7186618
6846,288.7186618
6847,288.7186618
6848,288.7186618
6849,288.7186618
6850,288.7186618
6851,288.7186618
6852,288.7186618
6853,288.7186618
6854,288.7186618
6855,288.7186618
6856,288.7186618
6857,288.7186618
6858,288.7186618
6859,288.7186618
6860,288.7186618
6861,288.7186618
6862,288.7186618
6863,288.7186618
6864,288.7186618
6865,288.7186618
6866,288.7186618
6867,288.7186618
6868,288.7186618
6869,288.7186618
6870,288.7186618
6871,288.7186618
6872,288.7186618
6873,288.7186618
6874,288.7186618
6875,288.7186618
6876,288.7186618
6877,288.7186618
6878,288.7186618
6879,288.7186618
6880,288.7186618
6881,288.7186618
6882,288.7186618
6883,288.7186618
6884,288.7186618
6885,288.7186618
6886,288.7186618
6887,288.7186618
6888,288.7186618
6889,288.7186618
6890,288.7186618
6891,288.7186618
6892,288.7186618
6893,288.7186618
6894,288.7186618
6895,288.7186618
6896,288.7186618
6897,288.7186618
6898,288.7186618
6899,288.7186618
6900,288.7186618
6901,288.7186618
6902,288.7186618
6903,288.7186618
6904,288.7186618
6905,288.7186618
6906,288.7186618
6907,288.7186618
6908,288.7186618
6909,288.7186618
6910,288.7186618
6911,288.7186618
6912,288.7186618
6913,288.7186618
6914,288.7186618
6915,288.7186618
6916,288.7186618
6917,288.7186618
6918,288.7186618
6919,288.7186618
6920,288.7186618
6921,288.7186618
6922,288.7186618
6923,288.7186618
6924,288.7186618
6925,288.7186618
6926,288.7186618
6927,288.7186618
6928,288.7186618
6929,288.7186618
6930,288.7186618
6931,288.7186618
6932,288.7186618
6933,288.7186618
6934,288.7186618
6935,288.7186618
6936,288.7186618
6937,288.7186618
6938,288.7186618
6939,288.7186618
6940,288.7186618
6941,288.7186618
6942,288.7186618
6943,288.7186618
6944,288.7186618
6945,288.7186618
6946,288.7186618
6947,288.7186618
6948,288.7186618
6949,288.7186618
6950,288.7186618
6951,288.7186618
6952,288.7186618
6953,288.7186618
6954,288.7186618
6955,288.7186618
6956,288.7186618
6957,288.7186618
6958,288.7186618
6959,288.7186618
6960,288.7186618
6961,288.7186618
6962,288.7186618
6963,288.7186618
6964,288.7186618
6965,288.7186618
6966,288.7186618
6967,288.7186618
6968,288.7186618
6969,288.7186618
6970,288.7186618
6971,288.7186618
6972,288.7186618
6973,288.7186618
6974,288.7186618
6975,288.7186618
6976,288.7186618
6977,288.7186618
6978,288.7186618
6979,288.7186618
6980,288.7186618
6981,288.7186618
6982,288.7186618
6983,288.7186618
6984,288.7186618
6985,288.7186618
6986,288.7186618
6987,288.7186618
6988,288.7186618
6989,288.7186618
6990,288.7186618
6991,288.7186618
6992,288.7186618
6993,288.7186618
6994,288.7186618
6995,288.7186618
6996,288.7186618
6997,288.7186618
6998,288.7186618
6999,288.7186618
7000,288.7186618
7001,288.7186618
7002,288.7186618
7003,288.7186618
7004,288.7186618
7005,288.7186618
7006,288.7186618
7007,288.7186618
7008,288.7186618
7009,288.7186618
7010,288.7186618
7011,288.7186618
7012,288.7186618
7013,288.7186618
